University,Department,Name,Position,Link,Email,Research Focus
Georgia Tech,Electrical and Computer Engineering,Guanghui Lan,A. Russell Chandler III ChairProfessor,https://www.isye.gatech.edu/users/guanghui-lan,,"Optimization, Machine Learning/Intelligence"
Georgia Tech,Electrical and Computer Engineering,Matthieu Lauras,Adjunct Professor,https://www.isye.gatech.edu/users/matthieu-lauras,,"Demand Driven Adaptive Enterprise, Humanitarian Logistics, Operations Research, Physical Internet, Risk and Crisis Management, Supply Chain Management"
Georgia Tech,Electrical and Computer Engineering,I-Hsiang Lee,Lecturer,https://www.isye.gatech.edu/users/i-hsiang-lee,,
Georgia Tech,Electrical and Computer Engineering,Jing Li,Virginia C. and Joseph C. Mello ChairProfessor,https://www.isye.gatech.edu/users/jing-li,,
Georgia Tech,Electrical and Computer Engineering,Ying Li,Senior Lecturer,https://www.isye.gatech.edu/users/ying-li,,
Georgia Tech,Electrical and Computer Engineering,Xiao Liu,David M. McKenney Family Associate Professor,https://www.isye.gatech.edu/users/xiao-liu,,
Georgia Tech,Electrical and Computer Engineering,Jon Lowe,Academic Professional,https://www.isye.gatech.edu/users/jon-lowe,,
Georgia Tech,Electrical and Computer Engineering,Jye-Chyi Lu,Professor,https://www.isye.gatech.edu/users/jye-chyi-lu,,"Data Mining, Industrial Statistics, Quality and Reliability Engineering, Supply Chain and Logistics"
Georgia Tech,Electrical and Computer Engineering,Jiawei Lu,Postdoctoral Fellow,https://www.isye.gatech.edu/users/jiawei-lu,,
Georgia Tech,Electrical and Computer Engineering,Siva Theja Maguluri,Fouts Family Early Career ProfessorAssociate Professor,https://www.isye.gatech.edu/users/siva-theja-maguluri,,
Georgia Tech,Electrical and Computer Engineering,Carlos Martinez Mori,President's Postdoctoral Fellow,https://www.isye.gatech.edu/users/carlos-martinez-mori,,
Georgia Tech,Electrical and Computer Engineering,Leon McGinnis,Professor Emeritus,https://www.isye.gatech.edu/users/leon-mcginnis,,"Model-based Systems Engineering, Discrete Event Logistics Systems"
Georgia Tech,Electrical and Computer Engineering,Yajun Mei,Affiliate Professor,https://www.isye.gatech.edu/users/yajun-mei,,Statistics
Georgia Tech,Electrical and Computer Engineering,Johannes Milz,Assistant Professor,https://www.isye.gatech.edu/users/johannes-milz,,
Georgia Tech,Electrical and Computer Engineering,Renato Monteiro,Coca-Cola Foundation ChairProfessor,https://www.isye.gatech.edu/users/renato-monteiro,,Linear and Nonlinear Optimization
Georgia Tech,Electrical and Computer Engineering,Benoit Montreuil,Coca-Cola Material Handling & Distribution ChairProfessor,https://www.isye.gatech.edu/users/benoit-montreuil,,
Georgia Tech,Electrical and Computer Engineering,Kaitlyn (Kati) Moug,Lecturer,https://www.isye.gatech.edu/users/kaitlyn-kati-moug,,
Georgia Tech,Electrical and Computer Engineering,Debankur Mukherjee,Leo and Louise Benatar Early Career ProfessorAssistant Professor,https://www.isye.gatech.edu/users/debankur-mukherjee,,
Georgia Tech,Electrical and Computer Engineering,Vidya Muthukumar,Assistant Professor,https://www.isye.gatech.edu/users/vidya-muthukumar,,"Machine Learning, Statistics, Game Theory, Reinforcement learning"
Georgia Tech,Electrical and Computer Engineering,Nicoly Myles,"Director of the Center for Academics, Success, and Equity (CASE)",https://www.isye.gatech.edu/users/nicoly-myles,,
Georgia Tech,Electrical and Computer Engineering,Bento Natura,Ronald J. and Carol T. Beerman/ARC Postdoctoral Fellow,https://www.isye.gatech.edu/users/bento-natura,,"Combinatorial and Integer Optimization, Optimization, Game Theory, Algorithms, Convex and Continuous Optimization, Machine Learning"
Georgia Tech,Electrical and Computer Engineering,Dima Nazzal,Director of Professional Practice,https://www.isye.gatech.edu/users/dima-nazzal,,
Georgia Tech,Electrical and Computer Engineering,George Nemhauser,Professor Emeritus,https://www.isye.gatech.edu/users/george-nemhauser,,"Operations Research, Combinatorial and Integer Optimization, Sports Scheduling"
Georgia Tech,Electrical and Computer Engineering,Arkadi Nemirovski,"John P. Hunter, Jr. ChairProfessor",https://www.isye.gatech.edu/users/arkadi-nemirovski,,Convex and Continuous Optimization
Georgia Tech,Electrical and Computer Engineering,Dmitrii Ostrovskii,Assistant Professor,https://www.isye.gatech.edu/users/dmitrii-ostrovskii,,"Numerical Optimization, Mathematical Statistics, Data Science and Machine Learning, Information theory"
Georgia Tech,Electrical and Computer Engineering,Ashwin Pananjady,Assistant Professor,https://www.isye.gatech.edu/users/ashwin-pananjady,,"High-dimensional statistics, Statistical machine learning, Mathematical Programming, Information theory, Reinforcement learning"
Georgia Tech,Electrical and Computer Engineering,R. Gary Parker,Professor Emeritus,https://www.isye.gatech.edu/users/r-gary-parker,,Combinatorial Optimization
Georgia Tech,Electrical and Computer Engineering,Kamran Paynabar,Fouts Family Professor,https://www.isye.gatech.edu/users/kamran-paynabar,,"Engineering-Driven Statistical Modeling, Statistical Learning Methods for Big Data Analytics, Quality Engineering, Manufacturing Systems"
Georgia Tech,Electrical and Computer Engineering,Srinivas Peeta,Frederick R. Dickerson ChairProfessor,https://www.isye.gatech.edu/users/srinivas-peeta,,
Georgia Tech,Electrical and Computer Engineering,Sofia Perez-Guzman,Adjunct Assistant Professor,https://www.isye.gatech.edu/users/sofia-perez-guzman,,
Georgia Tech,Electrical and Computer Engineering,Alan Porter,Professor Emeritus,https://www.isye.gatech.edu/users/alan-porter,,Technology forecasting and assessment
Georgia Tech,Electrical and Computer Engineering,Murali Rajagopalan,CHMI Program Manager,https://www.isye.gatech.edu/users/murali-rajagopalan,,
Georgia Tech,Electrical and Computer Engineering,Siva Ramani,Postdoctoral Fellow,https://www.isye.gatech.edu/users/siva-ramani,,
Georgia Tech,Electrical and Computer Engineering,Donald Ratliff,Regents' Professor Emeritus,https://www.isye.gatech.edu/users/donald-ratliff,,"Logistics, Network Optimization"
Georgia Tech,Electrical and Computer Engineering,Spiridon Reveliotis,Professor,https://www.isye.gatech.edu/users/spiridon-reveliotis,,"Manufacturing, Stochastic Processes"
Georgia Tech,Electrical and Computer Engineering,Edwin Romeijn,H. Milton and Carolyn J. Stewart School ChairProfessor,https://www.isye.gatech.edu/users/edwin-romeijn,,
Georgia Tech,Electrical and Computer Engineering,William Rouse,Professor Emeritus,https://www.isye.gatech.edu/users/william-rouse,,Systems Engineering & Management
Georgia Tech,Electrical and Computer Engineering,Nikolaos Sahinidis,Gary C. Butler Family ChairProfessor,https://www.isye.gatech.edu/users/nikolaos-sahinidis,,
Georgia Tech,Electrical and Computer Engineering,Rosemarie Santa Gonzalez,Postdoctoral Fellow,https://www.isye.gatech.edu/users/rosemarie-santa-gonzalez,,
